legal_entity_name,legal_entity_edrpou,division_name,division_residence_addresses,division_decl_sum,nszu_geocoding_google_api_lat,nszu_geocoding_google_api_lng
"КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""ЗМІЇВСЬКИЙ РАЙОННИЙ ЦЕНТР ПЕРВИННОЇ МЕДИКО-САНІТАРНОЇ ДОПОМОГИ"" ЗМІЇВСЬКОЇ РАЙОННОЇ РАДИ ХАРКІВСЬКОЇ ОБЛАСТІ",38897677,АЗПСМ м.Зміїв,"ХАРКІВСЬКА область, ЗМІЇВСЬКИЙ район, місто ЗМІЇВ, вулиця 6-ї Стрілецької дивізії, 1",14700.0,49.677760299999996,36.355126
"КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""ЦЕНТР ПЕРВИННОЇ МЕДИКО-САНІТАРНОЇ ДОПОМОГИ ТРОСТЯНЕЦЬКОЇ СІЛЬСЬКОЇ РАДИ""",40221119,Амбулаторія загальної практики/сімейної медицини с-ще Липівка,"ЛЬВІВСЬКА область, МИКОЛАЇВСЬКИЙ район, селище ЛИПІВКА, вулиця Сихівська, 14",1706.0,49.5854505,23.9794354
КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО 'БЕРЕЗНІВСЬКИЙ РАЙОННИЙ ЦЕНТР ПЕРВИННОЇ МЕДИЧНОЇ ДОПОМОГИ' БЕРЕЗНІВСЬКОЇ РАЙОННОЇ РАДИ,37867877,АЗПСМ с.Зірне,"РІВНЕНСЬКА область, БЕРЕЗНІВСЬКИЙ район, село ЗІРНЕ, вулиця Сонячна, 1",2647.0,50.9776237,26.7148287
"КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""ЦЕНТР ПЕРВИННОЇ МЕДИКО-САНІТАРНОЇ ДОПОМОГИ"" РОМЕНСЬКОЇ РАЙОННОЇ РАДИ СУМСЬКОЇ ОБЛАСТІ",26376820,Амбулаторія загальної практики - сімейної медицини с. Пустовійтівка,"СУМСЬКА область, РОМЕНСЬКИЙ район, село ПУСТОВІЙТІВКА, вулиця Берегова, 129",2188.0,50.779987299999995,33.5697564
"Комунальне некомерційне підприємство ""Центр первинної медико-санітарної допомоги"" Комишуваської селищної ради Оріхівського району Запорізької області",41083586,Комишуваська амбулаторія загальної практики сімейної медицини,"ЗАПОРІЗЬКА область, ОРІХІВСЬКИЙ район, смт. КОМИШУВАХА, вулиця Смирнова, 3",11437.0,47.7147135,35.531759
"КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""МОГИЛІВ-ПОДІЛЬСЬКИЙ РАЙОННИЙ МЕДИЧНИЙ ЦЕНТР ПЕРВИННОЇ МЕДИКО-САНІТАРНОЇ ДОПОМОГИ"" МОГИЛІВ-ПОДІЛЬСЬКОЇ РАЙОННОЇ РАДИ",37580028,Кукавська АЗПСМ,"ВІННИЦЬКА область, МОГИЛІВ-ПОДІЛЬСЬКИЙ район, село КУКАВКА, вулиця Свободи, 67",1466.0,48.6039081,27.702092800000003
"КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""КОРЮКІВСЬКИЙ ЦЕНТР ПЕРВИННОЇ МЕДИКО-САНІТАРНОЇ ДОПОМОГИ"" КОРЮКІВСЬКОЇ РАЙОННОЇ РАДИ",40377781,Холминська  селищна  лікарська  амбулаторія  загальної  практики - сімейної  медицини,"ЧЕРНІГІВСЬКА область, КОРЮКІВСЬКИЙ район, смт. ХОЛМИ, вулиця Центральна, 143",3164.0,51.8670581,32.5852776
Комунальне некомерційне підприємство 'Центр первинної медико-санітарної допомоги Нижньовербізької сільської ради об'єднаної територіальної громади',41991609,Амбулаторія №2 с.В.Ключів,"ІВАНО-ФРАНКІВСЬКА область, село ВЕЛИКИЙ КЛЮЧІВ, вулиця Відродження, 15",2545.0,48.4641669,24.936577399999997
"Комунальне некомерційне підприємство ""Центр первинної медико - санітарної допомоги № 1"" Деснянського району м.Києва",02064116,"КНП ""ЦПСМД №1"" Деснянського р-ну м.Києва, Амбулаторія загальної практики - сімейної медицини №2","М.КИЇВ, місто КИЇВ, проспект Маяковського, 32 б",14902.0,50.5096841,30.6124097
"КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""ЦЕНТР ПЕРВИННОЇ МЕДИКО-САНІТАРНОЇ ДОПОМОГИ""  БОГДАНІВСЬКОЇ СІЛЬСЬКОЇ РАДИ ДНІПРОПЕТРОВСЬКОЇ ОБЛАСТІ""",37735655,Богуславська амбулаторія загальної практики сімейної медицина,"ДНІПРОПЕТРОВСЬКА область, ПАВЛОГРАДСЬКИЙ район, село БОГУСЛАВ, вулиця Першотравнева, 335",2846.0,48.4659357,36.0239099
"КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""МІСЬКА КЛІНІЧНА ЛІКАРНЯ № 27"" ХАРКІВСЬКОЇ МІСЬКОЇ РАДИ",02003729,Амбулаторія № 1 центру первинної медичної допомоги,"ХАРКІВСЬКА область, місто ХАРКІВ, вулиця Пушкінська, 32",13460.0,49.995914,36.2375342
"КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""НІКОПОЛЬСЬКИЙ ЦЕНТР ПЕРВИННОЇ МЕДИКО-САНІТАРНОЇ ДОПОМОГИ"" НІКОПОЛЬСЬКОЇ МІСЬКОЇ РАДИ",37837203,Керівний склад,"ДНІПРОПЕТРОВСЬКА область, місто НІКОПОЛЬ, вулиця Богуна, 3",443.0,47.5660787,34.3834202
"КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""ЦЕНТР ПЕРВИННОЇ МЕДИКО-САНІТАРНОЇ ДОПОМОГИ""",38645610,Амбулаторія загальної практики сімейної медицини №3,"ТЕРНОПІЛЬСЬКА область, місто ТЕРНОПІЛЬ, вулиця Князя Острозького, 6",9879.0,49.5499773,25.5940488
"Комунальне некомерційне підприємство ""Великомихайлівський центр первинної медико-санітарної допомоги"" Великомихайлівської районної ради",37838741,Амбулаторія ЗПСМ смт.Великомихайлівка ,"ОДЕСЬКА область, ВЕЛИКОМИХАЙЛІВСЬКИЙ район, смт. ВЕЛИКА МИХАЙЛІВКА, вулиця Центральна, 248",11405.0,47.081512,29.850530100000004
"КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""ЦЕНТР ПЕРВИННОЇ МЕДИКО-САНІТАРНОЇ ДОПОМОГИ №2""",38783657,Амбулаторія загальної практики сімейної медицини № 1,"ЗАПОРІЗЬКА область, місто ЗАПОРІЖЖЯ, вулиця Брюллова, 6",9315.0,47.8276459,35.203684499999994
"КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""БОЛГРАДСЬКИЙ РАЙОННИЙ ЦЕНТР ПЕРВИННОЇ МЕДИКО-САНІТАРНОЇ ДОПОМОГИ"" БОЛГРАДСЬКОЇ РАЙОННОЇ РАДИ ОДЕСЬКОЇ ОБЛАСТІ",38184885,Амбулаторія загальної практики-сімейної медицини с. Виноградне,"ОДЕСЬКА область, БОЛГРАДСЬКИЙ район, село ВИНОГРАДНЕ, вулиця Горького, 74",1000.0,45.8078227,28.987978899999998
"КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""ЦЕНТР ПЕРВИННОЇ МЕДИЧНОЇ ДОПОМОГИ"" РОЖНЯТІВСЬКОЇ РАЙОННОЇ РАДИ ІВАНО-ФРАНКІВСЬКОЇ ОБЛАСТІ",42061427,АЗПСМ с. Спас,"ІВАНО-ФРАНКІВСЬКА область, село СПАС, вулиця ФРАНКА, 10",3247.0,48.89212620000001,24.062766800000002
"Комунальне некомерційне підприємство ""Котелевський центр первинної медико - санітарної допомоги""",37343988,Деревківська амбулаторія загальної практики сімейної медицини ,"ПОЛТАВСЬКА область, КОТЕЛЕВСЬКИЙ район, село ДЕРЕВКИ, вулиця Гагаріна, 7",1738.0,49.9920045,34.7117675
"КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""ЦЕНТР ПЕРВИННОЇ МЕДИКО-САНІТАРНОЇ ДОПОМОГИ № 9""",38969615,Амбулаторія загальної практики - сімейної медицини №6,"ЗАПОРІЗЬКА область, місто ЗАПОРІЖЖЯ, вулиця Дудикіна, 6",11491.0,47.878027,35.060871999999996
Фізична особа - підприємець Кравчук Віталій Вадимович,----------,Кравчук Віталій Вадимович,"ХЕРСОНСЬКА область, СКАДОВСЬКИЙ район, місто СКАДОВСЬК, вулиця Гагаріна, 61",1851.0,46.112128000000006,32.9149721
"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""МЕДИЧНИЙ ЦЕНТР ""МЕДАНТА""",41228157,Меданта,"КИЇВСЬКА область, КИЄВО-СВЯТОШИНСЬКИЙ район, село СОФІЇВСЬКА БОРЩАГІВКА, вулиця Боголюбова, 30",2123.0,50.3985626,30.377545899999998
"КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""ШИРОКІВСЬКИЙ ЦЕНТР ПЕРВИННОЇ МЕДИЧНОЇ ДОПОМОГИ"" ШИРОКІВСЬКОЇ РАЙОННОЇ РАДИ",36729598,Широківська амбулаторія загальної практики сімейної медицини,"ДНІПРОПЕТРОВСЬКА область, ШИРОКІВСЬКИЙ район, смт. ШИРОКЕ, вулиця Казбек, 17",13536.0,47.690985999999995,33.267404
"КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""ЦЕНТР ПЕРВИННОЇ МЕДИЧНОЇ ДОПОМОГИ ХМЕЛЬНИЦЬКОГО РАЙОНУ""",38469307,Шаровечківська амбулаторія загальної практики-сімейної медицини,"ХМЕЛЬНИЦЬКА область, село ШАРОВЕЧКА, вулиця Берегова, 14",7.0,49.4150974,26.9081042
"КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""МІСЬКА ДИТЯЧА ПОЛІКЛІНІКА № 4"" ХАРКІВСЬКОЇ МІСЬКОЇ РАДИ",31886695,"Центр первинної медико-санітарної допомоги, філія","ХАРКІВСЬКА область, місто ХАРКІВ, вулиця Данилевського, 27",6502.0,50.0088489,36.2230435
"КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""ЦЕНТР ПЕРВИННОЇ МЕДИКО-САНІТАРНОЇ ДОПОМОГИ СТАНИЧНО-ЛУГАНСЬКОЇ РАЙОННОЇ РАДИ""",38380533,філія «Петропавлівська   сільська лікарська амбулаторія КЗ «Станично-Луганський ЦПМСД»,"ЛУГАНСЬКА область, СТАНИЧНО-ЛУГАНСЬКИЙ район, смт. ПЕТРОПАВЛІВКА, вулиця Лікарняна, 2",6253.0,48.806131,39.2662445
Комунальне некомерційне підприємство 'Центр первинної медико-санітарної допомоги Білоцерківського району' Білоцерківської районної ради,37917880,Яблунівська АЗПСМ,"КИЇВСЬКА область, БІЛОЦЕРКІВСЬКИЙ район, село ЯБЛУНІВКА, вулиця Окружна, 15",1427.0,49.689477399999994,29.9619349
"КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""ЦЕНТР ПЕРВИННОЇ МЕДИКО-САНІТАРНОЇ ДОПОМОГИ БІЛГОРОД-ДНІСТРОВСЬКОЇ РАЙОННОЇ РАДИ""",41886843,Амбулаторія  загальної практики сімейної медицини Б-Дністровського районого ЦПМСД  с. Старокозаче,"ОДЕСЬКА область, БІЛГОРОД-ДНІСТРОВСЬКИЙ район, село СТАРОКОЗАЧЕ, вулиця Лікарняна , 1",5908.0,46.3335062,29.979363899999996
"КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""КАМІНЬ-КАШИРСЬКИЙ ЦЕНТР ПЕРВИННОЇ МЕДИКО-САНІТАРНОЇ ДОПОМОГИ"" КАМІНЬ-КАШИРСЬКОЇ РАЙОННОЇ РАДИ",38672910,Камінь-Каширська амбулаторія загальної практики-сімейної медицини,"ВОЛИНСЬКА область, КАМІНЬ-КАШИРСЬКИЙ район, місто КАМІНЬ-КАШИРСЬКИЙ, вулиця Шевченка, 43",31925.0,51.6308997,24.9518861
"КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ОХТИРСЬКОЇ МІСЬКОЇ РАДИ ""ОХТИРСЬКИЙ МІСЬКИЙ ЦЕНТР ПЕРВИННОЇ МЕДИКО-САНІТАРНОЇ ДОПОМОГИ""",40980271,"Амбулаторія загальної практики-сімейної медицини №2 Комунального некомерційного підприємства Охтирської міської ради ""Охтирський міський центр первинної медико-санітарної допомоги""","СУМСЬКА область, місто ОХТИРКА, вулиця Київська, 96",27.0,50.3102485,34.8752081
"КОМУНАЛЬНЕ ПІДПРИЄМСТВО ""КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""КАМ'ЯНЕЦЬ-ПОДІЛЬСЬКИЙ РАЙОННИЙ ЦЕНТР ПЕРВИННОЇ МЕДИКО-САНІТАРНОЇ ДОПОМОГИ""",38447428,Амбулаторія загальної практики-сімейної медицини с. Довжок,"ХМЕЛЬНИЦЬКА область, село ДОВЖОК, вулиця Смірнова, 53",2270.0,48.70125,26.579151799999998
"КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""ТРОЇЦЬКИЙ ЦЕНТР ПЕРВИННОЇ МЕДИКО-САНІТАРНОЇ ДОПОМОГИ"" ТРОЇЦЬКОЇ СЕЛИЩНОЇ РАДИ ТРОЇЦЬКОГО РАЙОНУ ЛУГАНСЬКОЇ ОБЛАСТІ",37981165,Троїцька амбулаторія загальної практики сімейної медицини,"ЛУГАНСЬКА область, ТРОЇЦЬКИЙ район, смт. ТРОЇЦЬКЕ, вулиця Виноградна, 11",5589.0,49.917148700000006,38.295810100000004
"КОМУНАЛЬНЕ ПІДПРИЄМСТВО КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО "" ЦЕНТР ПЕРВИННОЇ МЕДИКО - САНІТАРНОЇ ДОПОМОГИ"" СВАЛЯВСЬКОЇ РАЙОННОЇ РАДИ  ЗАКАРПАТСЬКОЇ ОБЛАСТІ ",38330435,Амбулаторія загальної практики сімейної медицини с. Дусино,"ЗАКАРПАТСЬКА область, СВАЛЯВСЬКИЙ район, село ДУСИНО, вулиця Миру, 58",1309.0,48.5105305,23.104264800000003
Комунальне підприємство «Козятинський міський центр первинної медико-санітарної допомоги Козятинської міської ради»,41783594,"Козятинська АЗПСМ (КП ""КМЦ ПМСД"")","ВІННИЦЬКА область, місто КОЗЯТИН, вулиця Незалежності, 75",23824.0,49.7207338,28.835442800000003
"КОМУНАЛЬНЕ ПІДПРИЄМСТВО ""ЦЕНТР ПЕРВИННОЇ МЕДИКО-САНІТАРНОЇ ДОПОМОГИ СТУДЕНЯНСЬКОЇ СІЛЬСЬКОЇ РАДИ ВІННИЦЬКОЇ ОБЛАСТІ""",40620416,Студенянська АЗПСМ,"ВІННИЦЬКА область, ПІЩАНСЬКИЙ район, село СТУДЕНА, вулиця Пирогова, 14",1704.0,48.142230100000006,28.8534723
"КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""ЦЕНТР ПЕРВИННОЇ МЕДИКО-САНІТАРНОЇ ДОПОМОГИ ""ПРОМІНЬ ЗДОРОВ'Я""  НОВОСЕЛИЦЬКОЇ РАЙОННОЇ РАДИ",38407889,Амбулаторія загальної практики сімейної медицини с. Рокитне,"ЧЕРНІВЕЦЬКА область, НОВОСЕЛИЦЬКИЙ район, село РОКИТНЕ, вулиця Київська, 47",1938.0,48.3278001,26.1898383
"Комунальне некомерційне підприємство ""Острозький районний центр первинної медичної (медико-санітарної) допомоги"" Острозької районної ради Рівненської області",38543370,Острозька лікарська амбулаторія загальної практики сімейної медицини №1,"РІВНЕНСЬКА область, місто ОСТРОГ, вулиця Татарська, 185",11716.0,50.3443214,26.525272499999996
"КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""ЦЕНТР ПЕРВИННОЇ МЕДИКО-САНІТАРНОЇ ДОПОМОГИ БОГОДУХІВСЬКОЇ РАЙОННОЇ РАДИ""",38916537,Амбулаторія загальної практики - сімейної медицини с. Губарівка,"ХАРКІВСЬКА область, БОГОДУХІВСЬКИЙ район, село ГУБАРІВКА, вулиця Гутянська, 95А",65.0,50.167052399999996,35.3745146
КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО КУП’ЯНСЬКИЙ ЦЕНТР ПЕРВИННОЇ МЕДИЧНОЇ ДОПОМОГИ КУП’ЯНСЬКОЇ МІСЬКОЇ РАДИ ХАРКІВСЬКОЇ ОБЛАСТІ,40414351,Амбулаторія загальної практики сімейної медицини с.Синьківка,"ХАРКІВСЬКА область, КУП'ЯНСЬКИЙ район, село СИНЬКІВКА, вулиця Праці, 37-а",1007.0,49.765784499999995,37.7025771
КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО 'БЕРЕЗНІВСЬКИЙ РАЙОННИЙ ЦЕНТР ПЕРВИННОЇ МЕДИЧНОЇ ДОПОМОГИ' БЕРЕЗНІВСЬКОЇ РАЙОННОЇ РАДИ,37867877,ФАП с.Голубне,"РІВНЕНСЬКА область, БЕРЕЗНІВСЬКИЙ район, село ГОЛУБНЕ, вулиця Ярового, 6",6.0,50.8995315,26.690388300000002
БАБЕНКО АННА ОЛЕКСАНДРІВНА,----------,ФОП БАБЕНКО АННА ОЛЕКСАНДРІВНА,"ПОЛТАВСЬКА область, місто КРЕМЕНЧУК, проспект Свободи, 4",61.0,49.07414910000001,33.4222782
Комунальне некомерційне підприємство 'Центр первинної медико-санітарної допомоги' Підволочиської селищної ради,38868583,АЗПСМ с.Кошляки,"ТЕРНОПІЛЬСЬКА область, ПІДВОЛОЧИСЬКИЙ район, село КОШЛЯКИ, вулиця Богдана Хмельницького, 42",622.0,49.676415000000006,26.148376199999998
"КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""ІРШАВСЬКИЙ ЦЕНТР ПЕРВИННОЇ МЕДИЧНОЇ ДОПОМОГИ"" ІРШАВСЬКОЇ РАЙОННОЇ РАДИ ЗАКАРПАТСЬКОЇ ОБЛАСТІ",38456539,ФАП с. Собатин,"ЗАКАРПАТСЬКА область, ІРШАВСЬКИЙ район, село СОБАТИН, вулиця , 9",530.0,48.3230845,22.997666
"КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""ЦЕНТР ПЕРВИННОЇ МЕДИКО-САНІТАРНОЇ ДОПОМОГИ"" НОВОГРАД-ВОЛИНСЬКОЇ МІСЬКОЇ РАДИ",38341562,Амбулаторія загальної практики - сімейної медицини № 6,"ЖИТОМИРСЬКА область, місто НОВОГРАД-ВОЛИНСЬКИЙ, вулиця Наталії Оржевської, 13",16600.0,50.5862685,27.605824100000003
"КОМУНАЛЬНЕ ПІДПРИЄМСТВО ""ПОГРЕБИЩЕНСЬКИЙ ЦЕНТР ПЕРВИННОЇ МЕДИКО-САНІТАРНОЇ ДОПОМОГИ"" ПОГРЕБИЩЕНСЬКОЇ РАЙОННОЇ РАДИ",37179654,Дільниця № 1,"ВІННИЦЬКА область, ПОГРЕБИЩЕНСЬКИЙ район, місто ПОГРЕБИЩЕ, вулиця П. Тичини, 54",1613.0,49.4853009,29.2494424
"КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""ЦЕНТР ПЕРВИННОЇ МЕДИКО-САНІТАРНОЇ ДОПОМОГИ № 2 М. КРОПИВНИЦЬКОГО"" МІСЬКОЇ РАДИ МІСТА КРОПИВНИЦЬКОГО""",13749863,Амбулаторія загальної практики-сімейної медицини № 5,"КІРОВОГРАДСЬКА область, місто КРОПИВНИЦЬКИЙ, вулиця Руслана Слободянюка , 136",10537.0,48.523378,32.232499
"КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО МИРОНІВСЬКОЇ РАЙОННОЇ РАДИ КИЇВСЬКОЇ ОБЛАСТІ ""МИРОНІВСЬКИЙ РАЙОННИЙ ЦЕНТР ПЕРВИННОЇ МЕДИКО-САНІТАРНОЇ ДОПОМОГИ""",38164193,Амбулаторія загальної практики - сімейної медицини с.Владиславка,"КИЇВСЬКА область, МИРОНІВСЬКИЙ район, село ВЛАДИСЛАВКА, вулиця Набережна, 4",73.0,49.632949100000005,30.9526039
