division_name,division_residence_addresses,division_decl_sum,nszu_geocoding_google_api_lat,nszu_geocoding_google_api_lng
Кукавська АЗПСМ,"ВІННИЦЬКА область, МОГИЛІВ-ПОДІЛЬСЬКИЙ район, село КУКАВКА, вулиця Свободи, 67",1487.0,48.6039081,27.702092800000003
Холминська  селищна  лікарська  амбулаторія  загальної  практики - сімейної  медицини,"ЧЕРНІГІВСЬКА область, КОРЮКІВСЬКИЙ район, смт. ХОЛМИ, вулиця Центральна, 143",3150.0,51.8670581,32.5852776
Амбулаторія №2 с.В.Ключів,"ІВАНО-ФРАНКІВСЬКА область, село ВЕЛИКИЙ КЛЮЧІВ, вулиця Відродження, 15",2479.0,48.4642669,24.936677399999997
"КНП ""ЦПСМД №1"" Деснянського р-ну м.Києва, Амбулаторія загальної практики - сімейної медицини №2","М.КИЇВ, місто КИЇВ, проспект Маяковського, 32 б",13774.0,50.5096841,30.6124097
Богуславська амбулаторія загальної практики сімейної медицина,"ДНІПРОПЕТРОВСЬКА область, ПАВЛОГРАДСЬКИЙ район, село БОГУСЛАВ, вулиця Першотравнева, 335",2742.0,48.4659357,36.0239099
Амбулаторія № 1 центру первинної медичної (медико-санітарної) допомоги,"ХАРКІВСЬКА область, місто ХАРКІВ, вулиця Пушкінська, 32",12656.0,49.995914,36.2375342
Керівний склад,"ДНІПРОПЕТРОВСЬКА область, місто НІКОПОЛЬ, вулиця Богуна, 3",735.0,47.5660787,34.3834202
Амбулаторія загальної практики сімейної медицини №3,"ТЕРНОПІЛЬСЬКА область, місто ТЕРНОПІЛЬ, вулиця Князя Острозького, 6",8738.0,49.5499773,25.5940488
Амбулаторія ЗПСМ смт.Великомихайлівка ,"ОДЕСЬКА область, ВЕЛИКОМИХАЙЛІВСЬКИЙ район, смт. ВЕЛИКА МИХАЙЛІВКА, вулиця Центральна, 246",10900.0,47.081512,29.850530100000004
Амбулаторія загальної практики сімейної медицини № 1,"ЗАПОРІЗЬКА область, місто ЗАПОРІЖЖЯ, вулиця Авраменка, 4",8888.0,47.851271200000006,35.2350363
Амбулаторія загальної практики-сімейної медицини с. Виноградне,"ОДЕСЬКА область, БОЛГРАДСЬКИЙ район, село ВИНОГРАДНЕ, вулиця Горького, 74",1014.0,45.8078227,28.987978899999998
АЗПСМ с. Спас,"ІВАНО-ФРАНКІВСЬКА область, село СПАС, вулиця ФРАНКА, 10",3149.0,48.8922262,24.062866800000002
Деревківська амбулаторія загальної практики сімейної медицини ,"ПОЛТАВСЬКА область, КОТЕЛЕВСЬКИЙ район, село ДЕРЕВКИ, вулиця Гагаріна, 7",1745.0,49.9920045,34.7117675
Амбулаторія загальної практики - сімейної медицини №6,"ЗАПОРІЗЬКА область, місто ЗАПОРІЖЖЯ, вулиця Дудикіна, 6",11158.0,47.878027,35.060871999999996
Кравчук Віталій Вадимович,"ХЕРСОНСЬКА область, СКАДОВСЬКИЙ район, місто СКАДОВСЬК, вулиця Гагаріна, 61",1070.0,46.112128000000006,32.9149721
Меданта,"КИЇВСЬКА область, КИЄВО-СВЯТОШИНСЬКИЙ район, село СОФІЇВСЬКА БОРЩАГІВКА, вулиця Боголюбова, 30",1428.0,50.3985626,30.377545899999998
Широківська амбулаторія загальної практики сімейної медицини,"ДНІПРОПЕТРОВСЬКА область, ШИРОКІВСЬКИЙ район, смт. ШИРОКЕ, вулиця Казбек, 17",11642.0,47.690985999999995,33.267404
"Центр первинної медико-санітарної допомоги, філія","ХАРКІВСЬКА область, місто ХАРКІВ, вулиця Данилевського, 27",6236.0,50.0104217,36.2280451
філія «Петропавлівська   сільська лікарська амбулаторія КЗ «Станично-Луганський ЦПМСД»,"ЛУГАНСЬКА область, СТАНИЧНО-ЛУГАНСЬКИЙ район, смт. ПЕТРОПАВЛІВКА, вулиця Лікарняна, 2",6220.0,48.806131,39.2662445
Яблунівська АЗПСМ,"КИЇВСЬКА область, БІЛОЦЕРКІВСЬКИЙ район, село ЯБЛУНІВКА, вулиця Окружна, 15",1405.0,49.689477399999994,29.9619349
Амбулаторія  загальної практики сімейної медицини Б-Дністровського районого ЦПМСД  с. Старокозаче,"ОДЕСЬКА область, БІЛГОРОД-ДНІСТРОВСЬКИЙ район, село СТАРОКОЗАЧЕ, вулиця Лікарняна , 1",5479.0,46.3335062,29.979363899999996
Камінь-Каширська амбулаторія загальної практики-сімейної медицини,"ВОЛИНСЬКА область, КАМІНЬ-КАШИРСЬКИЙ район, місто КАМІНЬ-КАШИРСЬКИЙ, вулиця Шевченка, 43",31303.0,51.6308997,24.9518861
Амбулаторія загальної практики-сімейної медицини с. Довжок,"ХМЕЛЬНИЦЬКА область, село ДОВЖОК, вулиця Смірнова, 53",1813.0,48.70125,26.579151799999998
Троїцька амбулаторія загальної практики сімейної медицини,"ЛУГАНСЬКА область, ТРОЇЦЬКИЙ район, смт. ТРОЇЦЬКЕ, вулиця Виноградна, 11",10997.0,49.917148700000006,38.295810100000004
Амбулаторія загальної практики сімейної медицини с. Дусино,"ЗАКАРПАТСЬКА область, СВАЛЯВСЬКИЙ район, село ДУСИНО, вулиця Миру, 58",1092.0,48.5105305,23.104264800000003
"Козятинська АЗПСМ (КП ""КМЦ ПМСД"")","ВІННИЦЬКА область, місто КОЗЯТИН, вулиця Незалежності, 75",23413.0,49.7207338,28.835442800000003
Студенянська АЗПСМ,"ВІННИЦЬКА область, ПІЩАНСЬКИЙ район, село СТУДЕНА, вулиця Пирогова, 14",1551.0,48.142230100000006,28.8534723
Амбулаторія загальної практики сімейної медицини с. Рокитне,"ЧЕРНІВЕЦЬКА область, НОВОСЕЛИЦЬКИЙ район, село РОКИТНЕ, вулиця Київська, 47",1811.0,48.3278001,26.1898383
Острозька лікарська амбулаторія загальної практики сімейної медицини №1,"РІВНЕНСЬКА область, місто ОСТРОГ, вулиця Татарська, 185",12034.0,50.3443214,26.525272499999996
Лікарський здоровпункт Львівського національного університету ветеринарної медицини та біотехнологій ім.С.Гжицького,"ЛЬВІВСЬКА область, місто ЛЬВІВ, вулиця Туган-Барановського, 13",449.0,49.836592100000004,24.039681899999998
АЗПСМ с. Губарівка,"ХАРКІВСЬКА область, БОГОДУХІВСЬКИЙ район, село ГУБАРІВКА, вулиця Гутянська, 95А",21.0,50.167052399999996,35.3745146
Амбулаторія загальної практики сімейної медицини с.Синьківка,"ХАРКІВСЬКА область, КУП'ЯНСЬКИЙ район, село СИНЬКІВКА, вулиця Праці, 28",964.0,49.765784499999995,37.7025771
ФАП с.Голубне,"РІВНЕНСЬКА область, БЕРЕЗНІВСЬКИЙ район, село ГОЛУБНЕ, вулиця Ярового, 6",6.0,50.8995315,26.690388300000002
АЗПСМ с.Кошляки,"ТЕРНОПІЛЬСЬКА область, ПІДВОЛОЧИСЬКИЙ район, село КОШЛЯКИ, вулиця Богдана Хмельницького, 42",655.0,49.676415000000006,26.148376199999998
ФАП с. Собатин,"ЗАКАРПАТСЬКА область, ІРШАВСЬКИЙ район, село СОБАТИН, вулиця Центральна, 9",537.0,48.3230845,22.997666
Амбулаторія загальної практики - сімейної медицини № 6,"ЖИТОМИРСЬКА область, місто НОВОГРАД-ВОЛИНСЬКИЙ, вулиця Наталії Оржевської, 13",15998.0,50.5862685,27.605824100000003
Лікарський здоровпункт Львівської національної академії мистецтв,"ЛЬВІВСЬКА область, місто ЛЬВІВ, вулиця Кримська, 30",421.0,49.8235304,24.045786899999996
Дільниця № 1,"ВІННИЦЬКА область, ПОГРЕБИЩЕНСЬКИЙ район, місто ПОГРЕБИЩЕ, вулиця П. Тичини, 54",1531.0,49.4853009,29.2494424
Амбулаторія загальної практики-сімейної медицини № 5,"КІРОВОГРАДСЬКА область, місто КРОПИВНИЦЬКИЙ, вулиця Руслана Слободянюка , 136",11144.0,48.523378,32.232499
Амбулаторія загальної практики - сімейної медицини с.Владиславка,"КИЇВСЬКА область, МИРОНІВСЬКИЙ район, село ВЛАДИСЛАВКА, вулиця Набережна, 4",34.0,49.632949100000005,30.9526039
ОЛВІ БІЛДІНГ ОБУХІВ,"КИЇВСЬКА область, місто ОБУХІВ, вулиця улица Мира 9, 37, 9",76.0,50.132056899999995,30.655674400000002
Бахмацька амбулаторія загальної практики сімейної медицини,"ЧЕРНІГІВСЬКА область, БАХМАЦЬКИЙ район, місто БАХМАЧ, вулиця Соборності, 32",13765.0,51.184451700000004,32.8306586
АЗПСМ с.Геніївка,"ХАРКІВСЬКА область, ЗМІЇВСЬКИЙ район, село ГЕНІЇВКА, вулиця Вишнева, 32а",2056.0,49.6696486,36.503233
Пункт здоров'я с. Реваківці,"ЧЕРНІВЕЦЬКА область, КІЦМАНСЬКИЙ район, село РЕВАКІВЦІ, вулиця Центральна, 13",130.0,48.3717408,25.684709299999998
Тячівківська амбулаторія загальної практики сімейної медицини,"ЗАКАРПАТСЬКА область, ТЯЧІВСЬКИЙ район, село ТЯЧІВКА, вулиця Шкільна, 65",674.0,48.0376744,23.5986439
Савчинська Амбулаторія Загальної Практики Сімейної Медицини,"ЛЬВІВСЬКА область, село САВЧИН, вулиця Шептицького, 61а",1915.0,50.4767316,24.277376999999998
Сільська лікарська амбулаторія загальної практики сімейної медицини с. Верхнє Висоцьке,"ЛЬВІВСЬКА область, ТУРКІВСЬКИЙ район, село ВЕРХНЄ ВИСОЦЬКЕ, вулиця Історична, 17",1656.0,48.947161,23.049373499999998
Амбулаторія ЗПСМ с. Заріччя,"ЗАКАРПАТСЬКА область, ІРШАВСЬКИЙ район, село ЗАРІЧЧЯ, вулиця Центральна, 1",2744.0,48.2863806,22.997844699999998
"Амбулаторія загальної практики - сімейної медицини ""Центр-3""","МИКОЛАЇВСЬКА область, місто ПЕРВОМАЙСЬК, вулиця Театральна, 35",3264.0,48.0443986,30.854344899999997
Амбулаторія загальної практики сімейної медицини №7,"ХМЕЛЬНИЦЬКА область, місто ХМЕЛЬНИЦЬКИЙ, вулиця КАМ'ЯНЕЦЬКА, 257/1",4915.0,49.385982,26.9569849
ПЕРЕМИШЛЯНСЬКА АМБУЛАТОРІЯ ЗАГАЛЬНОЇ ПРАКТИКИ СІМЕЙНОЇ МЕДИЦИНИ,"ЛЬВІВСЬКА область, ПЕРЕМИШЛЯНСЬКИЙ район, місто ПЕРЕМИШЛЯНИ, вулиця ГАЛИЦЬКА, 12",16400.0,49.6692136,24.5593173
В.Березнянська АЗП/СМ КНП ЦПМСД Полонської міської ради,"ХМЕЛЬНИЦЬКА область, ПОЛОНСЬКИЙ район, село ВЕЛИКА БЕРЕЗНА, вулиця Жукова, 2",220.0,50.040364700000005,27.4315702
Амбулаторія загальної практики - сімейної медицини с.Опришки,"ПОЛТАВСЬКА область, ГЛОБИНСЬКИЙ район, село ОПРИШКИ, вулиця Миру, 56",1359.0,49.366530600000004,33.1581537
Балинська амбулаторія загальної практики сімейної медицини,"ХМЕЛЬНИЦЬКА область, ДУНАЄВЕЦЬКИЙ район, село БАЛИН, вулиця Учительська, 11",1206.0,48.8769106,26.6725363
Семидубська АЗПСМ,"РІВНЕНСЬКА область, ДУБЕНСЬКИЙ район, село СЕМИДУБИ, вулиця Заводська, 14а",2759.0,50.344239200000004,25.811573499999998
РОЙЛЯНСЬКА амбулаторія сімейної медицини - загальної практики,"ОДЕСЬКА область, САРАТСЬКИЙ район, село РОЙЛЯНКА, вулиця Шевченко, 50",1345.0,46.28643579999999,29.788573200000002
Горностаївська АЗПСМ,"ХЕРСОНСЬКА область, НОВОТРОЇЦЬКИЙ район, село ГОРНОСТАЇВКА, вулиця Молодіжна, 15",359.0,46.3534227,34.34565070000001
АЗПСМ с. Кочубеївка,"ХЕРСОНСЬКА область, ВИСОКОПІЛЬСЬКИЙ район, село КОЧУБЕЇВКА, вулиця Менонітська, 120",1475.0,47.4981826,33.2117627
Великополовецька амбулаторія загальної практики сімейної медицини,"КИЇВСЬКА область, СКВИРСЬКИЙ район, село ВЕЛИКОПОЛОВЕЦЬКЕ, вулиця Молодіжна, 13а",1680.0,49.87003060000001,29.9431408
АЗПСМ с.Григоровка,"ХАРКІВСЬКА область, БАРВІНКІВСЬКИЙ район, село ГРИГОРІВКА, прохід Шкільний , 11",1639.0,48.872750200000006,36.9155065
Черняхівська амбулаторія загальної практики сімейної медицини,"КИЇВСЬКА область, КАГАРЛИЦЬКИЙ район, село ЧЕРНЯХІВ, вулиця 8 Березня, 3а",2017.0,50.00883579999999,30.781884899999998
Люблинецька амбулаторія загальної практики-сімейної медицини Центру первинної медико-санітарної допомоги Ковельського МТМО,"ВОЛИНСЬКА область, КОВЕЛЬСЬКИЙ район, смт. ЛЮБЛИНЕЦЬ, вулиця Жовтнева, 7",5183.0,51.1853028,24.6155547
Амбулаторія загальної практики сімейної медицини с. Медівка,"ВІННИЦЬКА область, ОРАТІВСЬКИЙ район, село МЕДІВКА, вулиця Зелена, 1",764.0,49.2599278,29.334708399999997
Костинецька АЗПСМ,"ЧЕРНІВЕЦЬКА область, СТОРОЖИНЕЦЬКИЙ район, село КОСТИНЦІ, вулиця Головна, 23",1144.0,48.280486200000006,25.6401635
"Комунальне некомерційне підприємство ""Міська лікарня № 28"" Харківської міської ради. Центр надання первинної медичної допомоги (філія Академіка Вальтера)","ХАРКІВСЬКА область, місто ХАРКІВ, вулиця Академіка Вальтера, 8",4260.0,50.0910402,36.25797070000001
Амбулаторія загальної практики-сімейної медицини с.Княгиничі,"ІВАНО-ФРАНКІВСЬКА область, РОГАТИНСЬКИЙ район, село КНЯГИНИЧІ, вулиця Шухевича, 7",2033.0,49.3803079,24.4607077
"Амбулаторія загальної практики-сімейної медицини №7 Комунального некомерційного підприємства ""Центр первинної медико-санітарної допомоги № 1 Дніпровського району м. Києва""","М.КИЇВ, місто КИЇВ, бульвар Перова, 10",5240.0,50.4799071,30.5942547
Амбулаторія загальної практики - сімейної медицини с.Стара Миколаївка,"ДОНЕЦЬКА область, КОСТЯНТИНІВСЬКИЙ район, село СТАРА МИКОЛАЇВКА, вулиця Вишнева, 4б",1834.0,48.3272592,37.678691799999996
"Амбулаторія загальної практики сімейної медицини(м. Мукачево, вул. Мира 10, 2 поверх)","ЗАКАРПАТСЬКА область, місто МУКАЧЕВЕ, вулиця Мира, 10",81.0,48.440822,22.7290969
Амбулаторія загальної практики сімейної медицини с.Бубнівська Слобідка,"ЧЕРКАСЬКА область, ЗОЛОТОНІСЬКИЙ район, село БУБНІВСЬКА СЛОБІДКА, вулиця бубнівська, 6",1393.0,49.7012994,31.70618
Амбулаторія загальної практики сімейної медицини села Маліївка,"МИКОЛАЇВСЬКА область, БЕРЕЗНЕГУВАТСЬКИЙ район, село МАЛІЇВКА, вулиця Широка, 44",1.0,47.4783026,32.7332464
АЗПСМ села Старе Село,"СУМСЬКА область, СУМСЬКИЙ район, село СТАРЕ СЕЛО, вулиця Першотравнева, 1-Б",1559.0,50.8249633,34.8145398
Ананьївська амбулаторія загальної практики сімейної медицини,"ОДЕСЬКА область, АНАНЬЇВСЬКИЙ район, місто АНАНЬЇВ, вулиця Героїв України, 45",8443.0,47.714758,29.9913264
ВІДОКРЕМЛЕНИЙ ПІДРОЗДІЛ ЛІКАРСЬКА АМБУЛАТОРІЯ ЗАГАЛЬНОЇ ПРАКТИКИ - СІМЕЙНОЇ МЕДИЦИНИ СМТ.ВЕРХНЄ СИНЬОВИДНЕ КОМУНАЛЬНОГО НЕКОМЕРЦІЙНОГО ПІДПРИЄМСТВА СКОЛІВСЬКИЙ ЦЕНТР ПЕРВИННОЇ МЕДИЧНОЇ ДОПОМОГИ СКОЛІВ,"ЛЬВІВСЬКА область, СКОЛІВСЬКИЙ район, смт. ВЕРХНЄ СИНЬОВИДНЕ, вулиця Січових Стрільців, 59",3241.0,49.10054,23.574891
Амбулаторія ЗПСМ с. Голинь,"ІВАНО-ФРАНКІВСЬКА область, КАЛУСЬКИЙ район, село ГОЛИНЬ, вулиця Коновальця, 19А",3522.0,49.004082200000006,24.2506726
Амбулаторія загальної практики-сімейної медицини с. Дмитрівка,"ОДЕСЬКА область, БОЛГРАДСЬКИЙ район, село ДМИТРІВКА, вулиця Миколи Марангоз, 87а",1959.0,45.970306799999996,28.980321999999997
Піддубцівська АЗПСМ,"ВОЛИНСЬКА область, ЛУЦЬКИЙ район, село ПІДДУБЦІ, вулиця Вернигори, 1",433.0,50.769677200000004,25.5063973
Васильківська амбулаторія загальної практики сімейної медицини,"ЧЕРКАСЬКА область, ШПОЛЯНСЬКИЙ район, село ВАСИЛЬКІВ, вулиця Центральна, 256",2811.0,48.9863749,31.3169251
Амбулаторія ЗПСМ с. Імстичово,"ЗАКАРПАТСЬКА область, ІРШАВСЬКИЙ район, село ІМСТИЧОВО, вулиця Шевченка, 1",1869.0,48.292944,23.192708399999997
Амбулаторія загальної практики сімейної медицини с.Старий Скалат,"ТЕРНОПІЛЬСЬКА область, ПІДВОЛОЧИСЬКИЙ район, село СТАРИЙ СКАЛАТ, вулиця Шевченка, 34",1763.0,49.4628482,25.9874958
Оситнязька амбулаторія загальної практики-сімейної медицини,"КІРОВОГРАДСЬКА область, НОВОМИРГОРОДСЬКИЙ район, село ОСИТНЯЖКА, вулиця Лесі Українки, 18",1166.0,48.9115745,31.8056654
"Микуличинська лікарська амбулаторія загальної практики сімейної медицини КНП ""ЯЦПМСД"" м.Яремче","ІВАНО-ФРАНКІВСЬКА область, село МИКУЛИЧИН, вулиця Грушевського , 91А",3510.0,48.39403,24.5969637
Амбулаторія загальної практики сімейної медицини с. Мала Мартинка,"ЗАКАРПАТСЬКА область, СВАЛЯВСЬКИЙ район, село МАЛА МАРТИНКА, вулиця Мала Мартинка, 182 А",1278.0,48.5297562,23.075742
Великочорнокінецька амбулаторія ЗПСМ,"ТЕРНОПІЛЬСЬКА область, ЧОРТКІВСЬКИЙ район, село ВЕЛИКІ ЧОРНОКІНЦІ, вулиця Центральна, 1",814.0,48.9717354,26.0215073
Амбулаторія ЗПСМ с. Нижнів,"ІВАНО-ФРАНКІВСЬКА область, ТЛУМАЦЬКИЙ район, село НИЖНІВ, вулиця Дністровська, 12",68.0,48.9436356,25.0939642
АЗПСМ с.Есень,"ЗАКАРПАТСЬКА область, УЖГОРОДСЬКИЙ район, село ЕСЕНЬ, вулиця Мала, 58",1539.0,48.6312445,22.3088015
Волоська АЗПСМ,"ДНІПРОПЕТРОВСЬКА область, ДНІПРОВСЬКИЙ район, село ВОЛОСЬКЕ, вулиця Поштова, 2",986.0,48.5292461,35.056134
Амбулаторія ЗПСМ с. В. Тур'я,"ІВАНО-ФРАНКІВСЬКА область, ДОЛИНСЬКИЙ район, село ВЕЛИКА ТУР'Я, вулиця Центральна, 74-а",1992.0,48.8711084,23.9252101
Амбулаторія загальної практики - сімейної медицини с. Сахкамінь,"ХМЕЛЬНИЦЬКА область, селище САХКАМІНЬ, вулиця Залізнична, 1/2",1081.0,48.584587899999995,26.556934299999998
АЗПСМ с.Батфа,"ЗАКАРПАТСЬКА область, УЖГОРОДСЬКИЙ район, село БАТФА, вулиця БАТФа, 15",803.0,48.5700824,22.190051999999998
Новодніпровська амбулаторія загальної практики-сімейної медицини,"ЗАПОРІЗЬКА область, КАМ'ЯНСЬКО-ДНІПРОВСЬКИЙ район, село НОВОДНІПРОВКА, вулиця Савушкіна, 90",1208.0,47.4128244,34.7630809
Відокремлений підрозділ № 1 Медичного центру ЕЛЕДІЯ,"СУМСЬКА область, місто СУМИ, вулиця Данила Галицького, 39",4814.0,50.913269799999995,34.7838649
Журавлівська амбулаторія загальної практики сімейної медицини,"ВІННИЦЬКА область, ТУЛЬЧИНСЬКИЙ район, село ЖУРАВЛІВКА, вулиця Шевченка, 152",1167.0,48.641599299999996,28.7248119
Любохинівська АЗПСМ,"ВОЛИНСЬКА область, СТАРОВИЖІВСЬКИЙ район, село ЛЮБОХИНИ, вулиця Жовтнева, 10",1616.0,51.4766443,24.1996225
Бережанська АЗП-СМ,"ТЕРНОПІЛЬСЬКА область, місто БЕРЕЖАНИ, вулиця Степана Бандери, 21",24996.0,49.4457237,24.935789
Словечанська амбулаторія  загальної практики сімейної медицини,"ЖИТОМИРСЬКА область, ОВРУЦЬКИЙ район, село СЛОВЕЧНЕ, вулиця Госпітальна, 47",4668.0,51.3808773,28.352385700000003
Комунальне некомерційне  підприємство «Херсонська міська клінічна лікарня ім. Є.Є.Карабелеша» Херсонської міської ради амбулаторія загальної практики – сімейна медицина,"ХЕРСОНСЬКА область, місто ХЕРСОН, проспект Адмірала Сенявіна, 156/8",3686.0,46.6636752,32.6133576
Просянська АЗПСМ,"ДНІПРОПЕТРОВСЬКА область, ПОКРОВСЬКИЙ район, смт. ПРОСЯНА, вулиця Весняна, 1",3280.0,48.118327,36.371891
Глибоцька амбулаторія ЗПСМ,"КИЇВСЬКА область, БОРИСПІЛЬСЬКИЙ район, село ГЛИБОКЕ, вулиця Паркова, 27а",2172.0,50.2597873,30.9374624
ФОП МЕРЗЛЯК КАТЕРИНА СЕРГІІВНА,"ЗАПОРІЗЬКА область, місто ЗАПОРІЖЖЯ, вулиця Поштова, 159",465.0,47.8262875,35.1631435
ФОП Польний Андрій Мирославович,"ТЕРНОПІЛЬСЬКА область, ЗБОРІВСЬКИЙ район, село ОЗЕРНА, вулиця Шевченка, 33 а",498.0,49.6339864,25.334874499999998
Амбулаторія загальної практики-сімейної медицини смт.ЯРОВА,"ДОНЕЦЬКА область, ЛИМАНСЬКИЙ район, смт. ЯРОВА, вулиця Донецька, 21",1495.0,49.056857,37.643305
Амбулаторія  загальної практики сімейної медицини Б-Дністровського районого ЦПМСД  с. Приморське,"ОДЕСЬКА область, БІЛГОРОД-ДНІСТРОВСЬКИЙ район, село ПРИМОРСЬКЕ, вулиця Центральна, 55",1614.0,46.058602,30.3575615
Амбулаторія загальної практики - сімейної медицини смт.Ширяєве,"ОДЕСЬКА область, ШИРЯЇВСЬКИЙ район, смт. ШИРЯЄВЕ, вулиця Грушевського, 94",12685.0,47.3754941,30.1958353
"КНП ""ЦПМСД №3"" Деснянського району м.Києва, амбулаторія загальної практики - сімейної медицини №3","М.КИЇВ, місто КИЇВ, проспект Лісовий, 23а",7798.0,50.4833174,30.6305336
Амбулаторія загальної практики - сімейної медицини с.Погреби,"ПОЛТАВСЬКА область, ГЛОБИНСЬКИЙ район, село ПОГРЕБИ, вулиця Шевченка, 39",1797.0,49.2480811,33.3259773
"Амбулаторія 1 Відділення первинної медичної допомоги поліклініки комунального некомерційного підприємства ""Чернігівська міська лікарня №2"" Чернігівської міської ради","ЧЕРНІГІВСЬКА область, місто ЧЕРНІГІВ, вулиця 1-го Травня, 168б",56507.0,51.5187343,31.308843800000002
"Амбулаторія загальної практики - сімейної медицини ""Фрегат-2""","МИКОЛАЇВСЬКА область, місто ПЕРВОМАЙСЬК, вулиця Толбухіна, 128",5241.0,48.0486275,30.8798218
Амбулаторія загальної практики сімейної медицини №7(д),"КИЇВСЬКА область, місто БІЛА ЦЕРКВА, вулиця Академіка Кримського, 6",1036.0,49.783313799999995,30.092359100000003
Олеська амбулаторія монопрактики,"ВОЛИНСЬКА область, ЛЮБОМЛЬСЬКИЙ район, село ОЛЕСЬК, вулиця Лесі Українки, 28",1270.0,51.1056627,24.174713399999998
Голобська амбулаторія загальної практики-сімейної медицини Центру первинної медико-санітарної допомоги  Ковельського МТМО,"ВОЛИНСЬКА область, КОВЕЛЬСЬКИЙ район, смт. ГОЛОБИ, вулиця Незалежності, 11",6994.0,51.0825,25.010832999999998
Новоселівська амбулаторія сімейної медицини - загальної практики,"ОДЕСЬКА область, САРАТСЬКИЙ район, село НОВОСЕЛІВКА, вулиця Шкільна , 79-а",3241.0,46.0056406,29.6138173
