legal_entity_name,division_id,division_name,division_area,division_region,division_settlement,division_residence_addresses,nszu_geocoding_google_api_lng,nszu_geocoding_google_api_lat,total_sum
"Приватне підприємство ""Фармацевтична компанія ""Здорова родина""",008f1791-0f43-499f-885d-5d408e240f59,Аптека №8,ЛЬВІВСЬКА,,САМБІР,"ЛЬВІВСЬКА область, місто САМБІР, площа Ринок, 5",23.1976915,49.5176905,2057527.69
Фізична особа-підприємець Бондаренко Наталія Григорівна,00924f30-07cc-4d31-8926-3f1fa257ca13,"Фізична особа-підприємець Бондаренко Наталия Григорівна аптека ""Панацея""",СУМСЬКА,ТРОСТЯНЕЦЬКИЙ,ТРОСТЯНЕЦЬ,"СУМСЬКА область, ТРОСТЯНЕЦЬКИЙ район, місто ТРОСТЯНЕЦЬ, вулиця Благовіщенська, 35В",34.96087,50.47435,
"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ФАРМАСТОР""",0093fe16-37b7-493e-9fda-81708f674916,"Аптека №224 ""1 соціальна аптека"" м.Київ, Харківське шосе, 158-К",М.КИЇВ,,КИЇВ,"М.КИЇВ, місто КИЇВ, шосе Харківське, 158-К",30.6579619,50.4161814,1229275.7
ТЕРНОПІЛЬСЬКЕ ОБЛАСНЕ ВИРОБНИЧО-ТОРГОВЕ АПТЕЧНЕ ОБ'ЄДНАННЯ,009494fd-36a1-4aa3-8ccd-08dccc78ebd3,Аптека № 3,ТЕРНОПІЛЬСЬКА,ПІДГАЄЦЬКИЙ,ПІДГАЙЦІ,"ТЕРНОПІЛЬСЬКА область, ПІДГАЄЦЬКИЙ район, місто ПІДГАЙЦІ, вулиця Шевченка, 2",25.1336767,49.2688472,1297882.5300000003
"""АСТАРТА"" ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ",00974e0b-0aec-4f88-b0bd-1bf1f550d334,"Аптечний пункт №2 ""Сімейна аптека"" (Аптеки №1 ""Сімейна аптека"" м.Харків, вул.Полтавський шлях, 152)",ХАРКІВСЬКА,,ХАРКІВ,"ХАРКІВСЬКА область, місто ХАРКІВ, вулиця Полтавський Шлях, 153",36.181545,49.981914,1466084.75
"Товариство з обмеженою відповідальністю ""Ваша аптека""",00b2ca7e-9b06-4f0c-8137-5d79ba7ad2ac,Аптека №19,РІВНЕНСЬКА,,РІВНЕ,"РІВНЕНСЬКА область, місто РІВНЕ, вулиця Шухевича, 12",26.2631452,50.633813200000006,4687773.800000001
"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""РЕГІОНАЛЬНА АПТЕЧНА МЕРЕЖА РУАН""",00c37869-a56b-49c7-9f74-07d8759f94b3,Аптека №85,ДНІПРОПЕТРОВСЬКА,,ДНІПРО,"ДНІПРОПЕТРОВСЬКА область, місто ДНІПРО, проспект Героїв, 3",35.0620689,48.4194505,2252249.89
"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ПОДОРОЖНИК ЧЕРНІГІВ""",00c8aa19-cff2-4abe-b402-5571a26ee706,Аптека №13 ПОДОРОЖНИК мережа аптек,ЧЕРНІГІВСЬКА,ІЧНЯНСЬКИЙ,ІЧНЯ,"ЧЕРНІГІВСЬКА область, ІЧНЯНСЬКИЙ район, місто ІЧНЯ, вулиця Свято-Преображенська, 1а",32.39479,50.85859,215457.12
"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ДІАЛОГ-2000""",00cc70d4-fbcb-4d64-8707-c55cf58c25c9,Аптека №1,ХМЕЛЬНИЦЬКА,ТЕОФІПОЛЬСЬКИЙ,СВЯТЕЦЬ,"ХМЕЛЬНИЦЬКА область, ТЕОФІПОЛЬСЬКИЙ район, селище СВЯТЕЦЬ, вулиця Ямпільська, 1",26.293904700000002,49.842562799999996,140207.49000000002
"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""САНДЕРС ЛОФТ""",00cc939c-6ff3-40da-a596-080fe071ea69,Аптека №20,ХАРКІВСЬКА,,ХАРКІВ,"ХАРКІВСЬКА область, місто ХАРКІВ, вулиця Беркоса, 98",36.1695536,50.039831400000004,303224.63
"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ФИРМА ХОРОШАЯ""",00d2f694-ef3d-4e18-b83b-6bbe01353ced,Аптека №5,ХЕРСОНСЬКА,,ХЕРСОН,"ХЕРСОНСЬКА область, місто ХЕРСОН, вулиця І.Кулика, 4",32.6138801,46.651851,1052550.61
"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ФАРМАСТОР""",00d325e8-7a8d-480a-8df0-1ee6c159f30a,"Аптека №171 Доброго дня м.Одеса, вул.Пантелеймонівська, 25",ОДЕСЬКА,,ОДЕСА,"ОДЕСЬКА область, місто ОДЕСА, вулиця Пантелеймонівська, 25",30.732463399999997,46.469755799999994,1229275.7
"Товариство з обмеженою відповідальністю ""Маркет Універсал ЛТД""",00d33ef5-c060-48da-a736-2a83aca52a64,Аптека №57,М.КИЇВ,ГОЛОСІЇВСЬКИЙ,КИЇВ,"М.КИЇВ, ГОЛОСІЇВСЬКИЙ район, місто КИЇВ, вулиця Велика Васильківська, 65А",30.516444,50.430144299999995,5645293.16
"ПРИВАТНЕ ПІДПРИЄМСТВО ""СОЛОМІЯ-СЕРВІС""",00e6136c-2dd6-49ab-9c23-10b4d797a1f3,"Аптечний пункт №2 (Аптеки №8 м.Львів, вул.Хімічна, 5)",ЛЬВІВСЬКА,МОСТИСЬКИЙ,МОСТИСЬКА,"ЛЬВІВСЬКА область, МОСТИСЬКИЙ район, місто МОСТИСЬКА, вулиця Б.Хмельницького, 7",23.1520128,49.7905912,1089621.07
"Державне виробничо-торгове підприємство ""Волиньфармпостач""",00eda5fa-03a8-4bc7-813c-1f97d0b96269,Аптека №7,ВОЛИНСЬКА,ВОЛОДИМИР-ВОЛИНСЬКИЙ,УСТИЛУГ,"ВОЛИНСЬКА область, ВОЛОДИМИР-ВОЛИНСЬКИЙ район, місто УСТИЛУГ, вулиця Гагаріна, 3",24.1496466,50.8623294,4009283.210000001
"Приватне підприємство ""Фармацевтична компанія ""Здорова родина""",00f1184d-20ba-4ccf-a39f-7ab12dd6557e,Аптека №96,ЧЕРНІВЕЦЬКА,НОВОСЕЛИЦЬКИЙ,НОВОСЕЛИЦЯ,"ЧЕРНІВЕЦЬКА область, НОВОСЕЛИЦЬКИЙ район, місто НОВОСЕЛИЦЯ, вулиця Центральна, 78",26.2712988,48.2211075,2057527.69
"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""АПТЕКИ МЕДИЧНОЇ АКАДЕМІЇ""",00f16f41-de8b-456f-8b08-f499bdf49af9,Аптека №17,ДНІПРОПЕТРОВСЬКА,,ДНІПРО,"ДНІПРОПЕТРОВСЬКА область, місто ДНІПРО, проспект Дмитра Яворницького, 42",35.0505278,48.462697399999996,9175465.47
"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ФАКУЛЬТЕТ-Ф""",011e90f8-21c2-493d-86a7-f207b97a4f60,Аптека №23 МАЛИНА,ПОЛТАВСЬКА,ГЛОБИНСЬКИЙ,ГЛОБИНЕ,"ПОЛТАВСЬКА область, ГЛОБИНСЬКИЙ район, місто ГЛОБИНЕ, вулиця Володимирівська, 43",33.221598699999994,49.4019695,626034.3999999999
"Приватне підприємство ""Фіалка""",0128b28b-e7e1-4733-991a-fd3ec93060cc,Аптека №14,М.КИЇВ,,КИЇВ,"М.КИЇВ, місто КИЇВ, бульвар Перова, 22",30.59543,50.47948,39884.73
"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""БМГ ГРУП""",01296d0d-21a9-489a-b13f-c521eb312554,"Аптека № 3 ""Здорова аптека""",М.КИЇВ,,КИЇВ,"М.КИЇВ, місто КИЇВ, вулиця Єреванська, 30",30.464728499999996,50.4378066,285823.08999999997
"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""СВ МЕДІКАЛ""",0129ce00-0b49-4710-8b6a-ec6c5f5e3e1e,аптека №12,ПОЛТАВСЬКА,ГЛОБИНСЬКИЙ,ГЛОБИНЕ,"ПОЛТАВСЬКА область, ГЛОБИНСЬКИЙ район, місто ГЛОБИНЕ, вулиця центральна, 226в",33.2945844,49.3701479,1666472.5
"ПРИВАТНА ФІРМА "" ГАММА - 55 """,012fbae3-3c5d-487d-8a52-4d99e72f1a7f,Аптека №43,ХАРКІВСЬКА,,ХАРКІВ,"ХАРКІВСЬКА область, місто ХАРКІВ, вулиця Гвардійців Широнінців, 8А",36.3293222,49.998068100000005,2164162.27
"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""АВК ФАРМ""",013c6a5a-bb37-4260-8471-8c21d05243a6,"ТОВ ""АВК ФАРМ"", аптека №8",ЖИТОМИРСЬКА,,НОВОГРАД-ВОЛИНСЬКИЙ,"ЖИТОМИРСЬКА область, місто НОВОГРАД-ВОЛИНСЬКИЙ, вулиця Гагаріна, 19",27.609340000000003,50.584944799999995,91254.3
"ПРИВАТНЕ ПІДПРИЄМСТВО ""АПТЕКА СОЦІАЛЬНА""",013cd8f0-9761-4ee8-92a5-fc13551f9a93,"Аптечний пункт №1 (Аптеки №23 Одеська обл., м.Подільськ, вул.Шкільна, 2-и)",ОДЕСЬКА,,ПОДІЛЬСЬК,"ОДЕСЬКА область, місто ПОДІЛЬСЬК, вулиця Каштанова, 76",29.514154700000002,47.7611581,
"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ФАРМАСТОР""",0141e1aa-10fe-4180-953a-cfec5db7c1e2,"Аптека №172 Доброго дня м.Дніпропетровськ, вул.В'ячеслава Липинського, 7 б",ДНІПРОПЕТРОВСЬКА,,ДНІПРО,"ДНІПРОПЕТРОВСЬКА область, місто ДНІПРО, вулиця Липинського, 7-Б",35.0512884,48.464882200000005,1229275.7
"ПРИВАТНЕ ПІДПРИЄМСТВО ""ОСАН""",0141f6da-74ed-4ffd-a69e-603e0c5d86b1,"Аптека №1 ""Аптека на Московському""",ХАРКІВСЬКА,,ХАРКІВ,"ХАРКІВСЬКА область, місто ХАРКІВ, проспект Московський, 124/А",36.2968846,49.9988856,182841.33000000005
"КОМУНАЛЬНЕ ПІДПРИЄМСТВО ""ФАРМАЦІЯ""",015137ef-8658-4bac-892c-4ec4fd57aa35,Аптека №128,М.КИЇВ,,КИЇВ,"М.КИЇВ, місто КИЇВ, вулиця Героїв Севастополя, 44/10",30.425846500000002,50.4294407,16010816.620000001
"Товариство з обмеженою відповідальністю ""КИЇВФАРМ""",015624e9-2578-4e51-aa69-0d4e5b7135ad,Аптека №11,КИЇВСЬКА,БОРОДЯНСЬКИЙ,БОРОДЯНКА,"КИЇВСЬКА область, БОРОДЯНСЬКИЙ район, смт. БОРОДЯНКА, вулиця Семашка, 4",29.926553000000002,50.6439148,1049536.21
"Товариство з обмеженою відповідальністю ""Ваша аптека""",0157eaaa-3db3-42f7-9fdd-3e5144eec80e,Аптека №59,ХМЕЛЬНИЦЬКА,,ХМЕЛЬНИЦЬКИЙ,"ХМЕЛЬНИЦЬКА область, місто ХМЕЛЬНИЦЬКИЙ, вулиця Попова, 3",27.0542587,49.4008842,4687773.800000001
"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""МРІЯ-ФАРМ""",01660404-6ad9-416f-b04b-6d6eeea0cc68,"Аптека №16 ""Мрія-Фарм""",ДОНЕЦЬКА,,МАРІУПОЛЬ,"ДОНЕЦЬКА область, місто МАРІУПОЛЬ, вулиця Пилипа Орлика, 81",37.515409600000005,47.1228708,4154627.1300000004
"Товариство з обмеженою відповідальністю ""АЙ ПІ ФАРМАЦІЯ""",01678ebc-1a50-4eee-b846-2feab07443a8,Аптека №47,М.КИЇВ,,КИЇВ,"М.КИЇВ, місто КИЇВ, вулиця Семашка, 21",30.362309999999997,50.46428,256846.41000000003
"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ТАС-ФАРМА""",016dd80d-3b2b-4cda-b276-49933b12388d,"Аптека ТАС ""Пан Аптекар"" №183",КИЇВСЬКА,,ФАСТІВ,"КИЇВСЬКА область, місто ФАСТІВ, вулиця Козара Зигмунда, 13",29.908136900000002,50.078084000000004,2517799.25
"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ФАРМАВІН""",017ef2d5-4975-4742-b002-c324d99907c2,Аптека №50,ВІННИЦЬКА,,ВІННИЦЯ,"ВІННИЦЬКА область, місто ВІННИЦЯ, вулиця Пирогова, 52-А",28.449293199999996,49.2279875,
"ПРИВАТНЕ ПІДПРИЄМСТВО ""СОЛОМІЯ-СЕРВІС""",017f1258-90f2-461b-ad86-b001d1aa054b,Аптека №57,ЛЬВІВСЬКА,ЖОВКІВСЬКИЙ,ЖОВКВА,"ЛЬВІВСЬКА область, ЖОВКІВСЬКИЙ район, місто ЖОВКВА, вулиця Львівська, 22",23.9731592,50.0561563,1089621.07
"Товариство з обмеженою відповідальністю медичний центр ""ГОМЕОПАТ""",018508cb-dc42-424d-b775-219b8dc8392e,"Аптечний пункт №3 (Аптеки №2 м.Одеса, вул.Транспортна, 7 Ж)",ОДЕСЬКА,,ОДЕСА,"ОДЕСЬКА область, місто ОДЕСА, вулиця Говорова, 26",30.749236100000005,46.4402872,820110.3200000001
"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""АПТЕКА №300""",0197918f-2c71-45e5-bec7-048d5d574ef7,"Аптечний пункт №1 (Аптеки №1 м.Харків, Салтівське шосе, 155/93)",ХАРКІВСЬКА,,ХАРКІВ,"ХАРКІВСЬКА область, місто ХАРКІВ, проспект Незалежності, 13",36.23446989999999,50.008167,
"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ПОДОРОЖНИК ТЕРНОПІЛЬ""",01af6d8a-75fa-4939-8894-46f4d5b251ac,Аптека №1 ПОДОРОЖНИК мережа аптек,ТЕРНОПІЛЬСЬКА,,ЧОРТКІВ,"ТЕРНОПІЛЬСЬКА область, місто ЧОРТКІВ, вулиця Шевченка, 15",25.797659,49.017567,1008614.11
"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ФЕНІКС ФАРМ""",01b49967-2c51-4e15-b525-f94587b15ec0,Аптека №5,ХАРКІВСЬКА,ЧУГУЇВСЬКИЙ,ЧКАЛОВСЬКЕ,"ХАРКІВСЬКА область, ЧУГУЇВСЬКИЙ район, смт. ЧКАЛОВСЬКЕ, вулиця Свободи, 12",36.9264674,49.7133639,140969.33
"Товариство з обмеженою відповідальістю ""Експрес-Мед""",01cdab03-3b5e-4220-b5c3-3f30260b811b,Аптека №3,ОДЕСЬКА,,ОДЕСА,"ОДЕСЬКА область, місто ОДЕСА, вулиця Балківська, 57",30.709209100000002,46.484957,987893.6500000001
"Приватне акціонерне товариство ""Тульчинська центральна районна аптека №90""",01d0cd7d-5765-41bb-9039-273c3305e601,"Аптечний пункт №4 (Аптеки №90 Вінницька обл., м.Тульчин, вул.Леніна, 58)",ВІННИЦЬКА,ТУЛЬЧИНСЬКИЙ,ШПИКІВ,"ВІННИЦЬКА область, ТУЛЬЧИНСЬКИЙ район, смт. ШПИКІВ, вулиця Незалежності, 139",28.561647999999998,48.7867841,134405.26
"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""САНДЕРС ЛОФТ""",01d3ee37-2006-410d-9f28-922524f36a1e,Аптека №23,ХАРКІВСЬКА,,ХАРКІВ,"ХАРКІВСЬКА область, місто ХАРКІВ, вулиця Салтівське шосе, 151/98",36.689012700000006,49.8372373,303224.63
"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ МЕДИЧНА КОМПАНІЯ ""ІРІС""",01d98994-8181-430f-8ded-4fe16d3a3051,Аптека №15,ДНІПРОПЕТРОВСЬКА,,КРИВИЙ РІГ,"ДНІПРОПЕТРОВСЬКА область, місто КРИВИЙ РІГ, вулиця Вечірньокутська, 1А",33.4486479,47.9165758,513344.22
"ПРИВАТНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""ЛІКИ КІРОВОГРАДЩИНИ""",01dcd669-65c8-42e5-906a-858cee46178b,ЦРА №26,КІРОВОГРАДСЬКА,ГАЙВОРОНСЬКИЙ,ГАЙВОРОН,"КІРОВОГРАДСЬКА область, ГАЙВОРОНСЬКИЙ район, місто ГАЙВОРОН, вулиця Свободи, 1/9",29.8648149,48.342794299999994,3400196.91
"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ДНІПРОДЗЕРЖИНСЬКА ФАРМАЦЕВТИЧНА КОМПАНІЯ""",01f6ad38-424b-4612-8edb-427de2c36e5c,Аптека №6,ДНІПРОПЕТРОВСЬКА,,МАРГАНЕЦЬ,"ДНІПРОПЕТРОВСЬКА область, місто МАРГАНЕЦЬ, вулиця Палацова, 2",34.61052,47.648920000000004,
"ПРИВАТНЕ ПІДПРИЄМСТВО ""ПРИВАТНЕ ФАРМАЦЕВТИЧНЕ ПІДПРИЄМСТВО ""АДОНІС""",02156de6-f9d3-43c2-b84a-a55d77a1b153,"Аптечний пункт №2 (Аптеки №1 Херсонська обл., м.Скадовськ, вул.Поповича, 13)",ХЕРСОНСЬКА,СКАДОВСЬКИЙ,СКАДОВСЬК,"ХЕРСОНСЬКА область, СКАДОВСЬКИЙ район, місто СКАДОВСЬК, вулиця Пасічника, 102",32.922659499999995,46.1230735,414.88
"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ГЛОРІЯ ФАРМ""",022165e0-5dfd-47de-90c2-9d7333637b5a,Аптека №72,ЗАПОРІЗЬКА,,ЗАПОРІЖЖЯ,"ЗАПОРІЗЬКА область, місто ЗАПОРІЖЖЯ, вулиця Чарівна, 68",35.20323,47.8368,7490.28
"Приватне підприємство ""Южноукраїнська фармацевтична компанія""",0232dd04-70b1-4128-98e3-88ef37812c1e,Аптека №29,МИКОЛАЇВСЬКА,,МИКОЛАЇВ,"МИКОЛАЇВСЬКА область, місто МИКОЛАЇВ, вулиця Миколаївська, 15",32.04408,46.94389,953443.82
"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ВЕТА-ПЛЮС""",0237a86f-a9a8-4c51-9892-2e8cffd4274a,"Аптечний пункт №1 ""Вета"" (Аптеки №1 ""Вета"" Київська обл., м.Бровари, б-р Незалежності, 9)",КИЇВСЬКА,,БРОВАРИ,"КИЇВСЬКА область, місто БРОВАРИ, вулиця Олександра Білана (Горького), 5",30.746879999999997,50.50135,1143396.08
"Приватне підприємство ""Южноукраїнська фармацевтична компанія""",023a86f1-9ab6-41e3-b2c9-e0ae09010e9d,Аптека №3,МИКОЛАЇВСЬКА,,ПЕРВОМАЙСЬК,"МИКОЛАЇВСЬКА область, місто ПЕРВОМАЙСЬК, вулиця Театральна, 2",30.850990000000003,48.04531,953443.82
"КОМУНАЛЬНЕ ПІДПРИЄМСТВО ТЕРНОПІЛЬСЬКОЇ ОБЛАСНОЇ РАДИ ""ТЕРНОПІЛЬСЬКА ОБЛАСНА АПТЕКА №78""",023cbaac-e31c-4425-9584-152e7f2b1eb3,Тернопільська обласна аптека №78,ТЕРНОПІЛЬСЬКА,,ТЕРНОПІЛЬ,"ТЕРНОПІЛЬСЬКА область, місто ТЕРНОПІЛЬ, вулиця Руська, 23",25.59208,49.551002000000004,864749.5599999999
Фізична особа-підприємець Зайцева Лідія Володимирівна,02460f5d-4d6a-426f-91ed-741ce3c07c94,"Аптечний пункт №8 (Аптеки №1 Полтавська обл., м.Кременчук вул. Європейська ,41)",ПОЛТАВСЬКА,ПИРЯТИНСЬКИЙ,ПИРЯТИН,"ПОЛТАВСЬКА область, ПИРЯТИНСЬКИЙ район, місто ПИРЯТИН, вулиця Визволення, 54",32.50631,50.251290000000004,1901275.36
"ПРИВАТНЕ ПІДПРИЄМСТВО ""СОЛОМІЯ-СЕРВІС""",0252a00b-0c46-4584-aaf8-9ce7491a11e8,"Аптечний пункт №3 ПОДОРОЖНИК мережа аптек (Аптеки №2 м.Львів, вул.Васильківського, 1)",ЛЬВІВСЬКА,,ЛЬВІВ,"ЛЬВІВСЬКА область, місто ЛЬВІВ, вулиця Генерала Чупринки, 45",24.0103201,49.8310216,1089621.07
"Мале приватне підприємство ""ОЛЕКСАНДР С""",0276dfc2-d2b3-4267-a435-acde6702d55c,Аптека №3,ОДЕСЬКА,ІВАНІВСЬКИЙ,ЗНАМ'ЯНКА,"ОДЕСЬКА область, ІВАНІВСЬКИЙ район, село ЗНАМ'ЯНКА, вулиця Генерала Плієва, 29",30.2958885,47.023219399999995,
"ПРИВАТНЕ ПІДПРИЄМСТВО ""ВІТАФАРМА""",027ba3de-3a0b-4684-bfe4-6bd552145452,"Аптека ""Благодать"" №14",ЗАПОРІЗЬКА,,ЗАПОРІЖЖЯ,"ЗАПОРІЗЬКА область, місто ЗАПОРІЖЖЯ, вулиця 8 Березня, 28",35.195633,47.8152657,1159400.72
"Товариство з обмеженою відповідальністю ""КИЇВФАРМ""",0287af59-64a9-45f8-8924-91c0a74684fb,Аптека №3,КИЇВСЬКА,БОРОДЯНСЬКИЙ,ПІСКІВКА,"КИЇВСЬКА область, БОРОДЯНСЬКИЙ район, смт. ПІСКІВКА, вулиця Філіппова, 11-А",29.642031899999996,50.6909651,1049536.21
"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ЛІДЕР-ЗАХІД""",028d8263-5659-4583-9aa7-35da78d265af,Аптека №42,ЛЬВІВСЬКА,,ДРОГОБИЧ,"ЛЬВІВСЬКА область, місто ДРОГОБИЧ, вулиця Михайла Грушевського, 58/2",23.525748,49.353125399999996,1148101.8
"Товариство з обмеженою відповідальністю ""ФАЛБІ-ХАРКІВ""",029bd234-c3dd-4046-80db-d6aee5ee0d5c,Аптека №2,ХАРКІВСЬКА,,БЕЗЛЮДІВКА,"ХАРКІВСЬКА область, смт. БЕЗЛЮДІВКА, вулиця Зміївська, 58",36.295574,49.875718400000004,146820.93
"Приватне підприємство ""Фармацевтична компанія ""Здорова родина""",029c1cf3-c80f-41b8-8c53-4d6058878683,Аптека №48,ІВАНО-ФРАНКІВСЬКА,,ІВАНО-ФРАНКІВСЬК,"ІВАНО-ФРАНКІВСЬКА область, місто ІВАНО-ФРАНКІВСЬК, вулиця Коновальця, 12/2",24.7105868,48.91793079999999,2057527.69
